Drug name,Drug target,Target Pathway,Feature Name,ic50_effect_size
MG-132,"Proteasome, CAPN1",Protein stability and degradation,SACS_mut,0.3971659567737343
MG-132,"Proteasome, CAPN1",Protein stability and degradation,TP53_mut,1.2451037417108615
Paclitaxel,Microtubule stabiliser,Mitosis,ASXL1_mut,0.14028678270542091
Paclitaxel,Microtubule stabiliser,Mitosis,CREBBP_mut,0.20535001669856412
Paclitaxel,Microtubule stabiliser,Mitosis,KRAS_mut,0.9075984064601392
Paclitaxel,Microtubule stabiliser,Mitosis,NRAS_mut,0.8225839242012368
Paclitaxel,Microtubule stabiliser,Mitosis,SACS_mut,0.2351726437608118
Paclitaxel,Microtubule stabiliser,Mitosis,TP53_mut,1.424661061762989
Cyclopamine,SMO,Other,ASXL1_mut,0.559821757857825
Cyclopamine,SMO,Other,CREBBP_mut,0.48290927989080046
Cyclopamine,SMO,Other,KRAS_mut,0.3206033060226733
Cyclopamine,SMO,Other,NRAS_mut,0.8623602329757774
Cyclopamine,SMO,Other,SACS_mut,0.4599567428750686
Cyclopamine,SMO,Other,TP53_mut,0.4747458612850006
AZ628,BRAF,ERK MAPK signaling,ASXL1_mut,0.4117201330438675
AZ628,BRAF,ERK MAPK signaling,CREBBP_mut,0.7098682910265224
AZ628,BRAF,ERK MAPK signaling,KRAS_mut,0.3449807761694232
AZ628,BRAF,ERK MAPK signaling,NRAS_mut,0.26390125861196173
AZ628,BRAF,ERK MAPK signaling,SACS_mut,0.9720467726004842
AZ628,BRAF,ERK MAPK signaling,TP53_mut,0.7842143438850439
Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling,ASXL1_mut,0.3014210070463161
Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling,CREBBP_mut,0.32213074870007213
Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling,KRAS_mut,0.5414344762837299
Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling,NRAS_mut,0.7298145721504119
Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling,SACS_mut,0.40359500191703146
Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling,TP53_mut,0.35329167652768556
Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,ASXL1_mut,0.1849634764848044
Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,CREBBP_mut,0.1531496289501696
Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,KRAS_mut,0.13115454963473913
Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,NRAS_mut,1.469040235714808
Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,SACS_mut,0.1856684398249985
Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,TP53_mut,0.919008525122052
Imatinib,"ABL, KIT, PDGFR","Other, kinases",ASXL1_mut,0.7724648629153497
Imatinib,"ABL, KIT, PDGFR","Other, kinases",CREBBP_mut,0.04234442411193655
Imatinib,"ABL, KIT, PDGFR","Other, kinases",KRAS_mut,0.9353180094580924
Imatinib,"ABL, KIT, PDGFR","Other, kinases",NRAS_mut,0.6614510131562215
Imatinib,"ABL, KIT, PDGFR","Other, kinases",SACS_mut,0.31321471509012744
Imatinib,"ABL, KIT, PDGFR","Other, kinases",TP53_mut,1.0495982367049514
NVP-TAE684,ALK,RTK signaling,ASXL1_mut,0.4205895515908946
NVP-TAE684,ALK,RTK signaling,CREBBP_mut,0.5950017720944958
NVP-TAE684,ALK,RTK signaling,KRAS_mut,0.6018440298957048
NVP-TAE684,ALK,RTK signaling,NRAS_mut,2.0880779548728334
NVP-TAE684,ALK,RTK signaling,SACS_mut,0.6715101063589782
NVP-TAE684,ALK,RTK signaling,TP53_mut,0.9001927048607321
Crizotinib,"MET, ALK, ROS1",RTK signaling,ASXL1_mut,0.13153185342388618
Crizotinib,"MET, ALK, ROS1",RTK signaling,CREBBP_mut,0.5123696332972653
Crizotinib,"MET, ALK, ROS1",RTK signaling,KRAS_mut,0.6182625882987286
Crizotinib,"MET, ALK, ROS1",RTK signaling,NRAS_mut,1.3379117857742495
Crizotinib,"MET, ALK, ROS1",RTK signaling,SACS_mut,0.9173384734311618
Crizotinib,"MET, ALK, ROS1",RTK signaling,TP53_mut,0.9120504286571943
Saracatinib,"ABL, SRC","Other, kinases",ASXL1_mut,0.5080127439987244
Saracatinib,"ABL, SRC","Other, kinases",CREBBP_mut,0.3321811272183438
Saracatinib,"ABL, SRC","Other, kinases",KRAS_mut,0.82839204392928
Saracatinib,"ABL, SRC","Other, kinases",NRAS_mut,0.6518396766560618
Saracatinib,"ABL, SRC","Other, kinases",SACS_mut,1.4369745947662194
Saracatinib,"ABL, SRC","Other, kinases",TP53_mut,0.7707413575728785
S-Trityl-L-cysteine,KIF11,Mitosis,ASXL1_mut,0.06652085960175674
S-Trityl-L-cysteine,KIF11,Mitosis,CREBBP_mut,0.17007966303083832
S-Trityl-L-cysteine,KIF11,Mitosis,KRAS_mut,0.7015537879924792
S-Trityl-L-cysteine,KIF11,Mitosis,NRAS_mut,0.9178477158026535
S-Trityl-L-cysteine,KIF11,Mitosis,SACS_mut,0.19168382395777353
S-Trityl-L-cysteine,KIF11,Mitosis,TP53_mut,1.1917436546401206
Z-LLNle-CHO,gamma-secretase,Other,ASXL1_mut,0.40160124347446663
Z-LLNle-CHO,gamma-secretase,Other,CREBBP_mut,0.5872234549439009
Z-LLNle-CHO,gamma-secretase,Other,KRAS_mut,0.23217528950152633
Z-LLNle-CHO,gamma-secretase,Other,NRAS_mut,0.21976542927763404
Z-LLNle-CHO,gamma-secretase,Other,SACS_mut,0.44522559941181217
Z-LLNle-CHO,gamma-secretase,Other,TP53_mut,1.0080325722613153
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,ASXL1_mut,0.4348606952037113
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,CREBBP_mut,0.4185725562357113
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,KRAS_mut,0.8790832827064345
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,NRAS_mut,1.0069993260513812
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,SACS_mut,1.0695285159138042
Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,TP53_mut,0.8393836975410118
GNF-2,BCR-ABL,ABL signaling,ASXL1_mut,0.2207491933977631
GNF-2,BCR-ABL,ABL signaling,CREBBP_mut,0.8892376222047073
GNF-2,BCR-ABL,ABL signaling,KRAS_mut,0.11790424864921693
GNF-2,BCR-ABL,ABL signaling,NRAS_mut,0.5544770137038014
GNF-2,BCR-ABL,ABL signaling,SACS_mut,0.9012084536108401
GNF-2,BCR-ABL,ABL signaling,TP53_mut,0.49537401321611313
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,ASXL1_mut,0.13073064772369167
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,CREBBP_mut,0.8350143581826671
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,KRAS_mut,0.36525996487439477
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,NRAS_mut,1.2764467959419286
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,SACS_mut,0.38175711157075015
CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle,TP53_mut,1.43216359072021
CGP-082996,CDK4,Cell cycle,ASXL1_mut,0.8084982118455284
CGP-082996,CDK4,Cell cycle,CREBBP_mut,0.21374638593787487
CGP-082996,CDK4,Cell cycle,KRAS_mut,0.9426384282632065
CGP-082996,CDK4,Cell cycle,NRAS_mut,0.9435463495518571
CGP-082996,CDK4,Cell cycle,SACS_mut,0.07774316594703062
CGP-082996,CDK4,Cell cycle,TP53_mut,0.9914824222821099
A-770041,"LCK, FYN","Other, kinases",ASXL1_mut,0.47153146682966995
A-770041,"LCK, FYN","Other, kinases",CREBBP_mut,0.3763859008594882
A-770041,"LCK, FYN","Other, kinases",KRAS_mut,0.6009306254051494
A-770041,"LCK, FYN","Other, kinases",NRAS_mut,0.5666017448663655
A-770041,"LCK, FYN","Other, kinases",SACS_mut,1.0785265924041807
A-770041,"LCK, FYN","Other, kinases",TP53_mut,0.7456914847761253
WH-4-023,"SRC, LCK","Other, kinases",ASXL1_mut,0.687233073204385
WH-4-023,"SRC, LCK","Other, kinases",CREBBP_mut,0.5904663198751381
WH-4-023,"SRC, LCK","Other, kinases",KRAS_mut,0.8074725029126074
WH-4-023,"SRC, LCK","Other, kinases",NRAS_mut,0.7771028903869596
WH-4-023,"SRC, LCK","Other, kinases",SACS_mut,1.4077034381140074
WH-4-023,"SRC, LCK","Other, kinases",TP53_mut,0.7025742352913915
WZ-1-84,BMX,"Other, kinases",ASXL1_mut,0.2632482628960767
WZ-1-84,BMX,"Other, kinases",CREBBP_mut,0.36946792267388096
WZ-1-84,BMX,"Other, kinases",KRAS_mut,0.19566093536453613
WZ-1-84,BMX,"Other, kinases",NRAS_mut,1.0433246311943225
WZ-1-84,BMX,"Other, kinases",SACS_mut,0.05923135555615941
WZ-1-84,BMX,"Other, kinases",TP53_mut,0.5324760888174201
BI-2536,"PLK1, PLK2, PLK3",Cell cycle,ASXL1_mut,0.0841120058444224
BI-2536,"PLK1, PLK2, PLK3",Cell cycle,CREBBP_mut,0.21499652239684525
BI-2536,"PLK1, PLK2, PLK3",Cell cycle,KRAS_mut,0.7099490987442906
BI-2536,"PLK1, PLK2, PLK3",Cell cycle,NRAS_mut,0.7755101260085157
BI-2536,"PLK1, PLK2, PLK3",Cell cycle,SACS_mut,0.26655206253176583
BI-2536,"PLK1, PLK2, PLK3",Cell cycle,TP53_mut,0.8966372816712123
BMS-536924,"IGF1R, IR",IGF1R signaling,ASXL1_mut,0.6485163383109341
BMS-536924,"IGF1R, IR",IGF1R signaling,CREBBP_mut,0.510673998457684
BMS-536924,"IGF1R, IR",IGF1R signaling,KRAS_mut,1.068791739780216
BMS-536924,"IGF1R, IR",IGF1R signaling,NRAS_mut,1.1715835386260924
BMS-536924,"IGF1R, IR",IGF1R signaling,SACS_mut,0.2079343162984468
BMS-536924,"IGF1R, IR",IGF1R signaling,TP53_mut,0.6884962148565189
BMS-509744,ITK,"Other, kinases",ASXL1_mut,0.4336393646469843
BMS-509744,ITK,"Other, kinases",CREBBP_mut,0.08817341273659801
BMS-509744,ITK,"Other, kinases",KRAS_mut,0.807429896745129
BMS-509744,ITK,"Other, kinases",NRAS_mut,1.2482462629716737
BMS-509744,ITK,"Other, kinases",SACS_mut,0.2572598558716507
BMS-509744,ITK,"Other, kinases",TP53_mut,0.9548603581274636
CMK,RSK2,"Other, kinases",ASXL1_mut,0.43404173908997423
CMK,RSK2,"Other, kinases",CREBBP_mut,0.27895789584531083
CMK,RSK2,"Other, kinases",KRAS_mut,0.6087743167156655
CMK,RSK2,"Other, kinases",NRAS_mut,0.7457065673845338
CMK,RSK2,"Other, kinases",SACS_mut,0.662038498604643
CMK,RSK2,"Other, kinases",TP53_mut,0.22695088835918406
Pyrimethamine,Dihydrofolate reductase (DHFR),Other,ASXL1_mut,0.5172079192955151
Pyrimethamine,Dihydrofolate reductase (DHFR),Other,CREBBP_mut,0.12601184443739202
Pyrimethamine,Dihydrofolate reductase (DHFR),Other,KRAS_mut,0.3436527139554875
Pyrimethamine,Dihydrofolate reductase (DHFR),Other,NRAS_mut,1.5458158355833431
Pyrimethamine,Dihydrofolate reductase (DHFR),Other,SACS_mut,0.3265333747667362
Pyrimethamine,Dihydrofolate reductase (DHFR),Other,TP53_mut,1.0084909650104477
JW-7-52-1,MTOR,PI3K/MTOR signaling,ASXL1_mut,0.31874419420952793
JW-7-52-1,MTOR,PI3K/MTOR signaling,CREBBP_mut,0.29858354298296635
JW-7-52-1,MTOR,PI3K/MTOR signaling,KRAS_mut,0.3384687710926083
JW-7-52-1,MTOR,PI3K/MTOR signaling,NRAS_mut,1.363600440749329
JW-7-52-1,MTOR,PI3K/MTOR signaling,SACS_mut,0.14505105551541164
JW-7-52-1,MTOR,PI3K/MTOR signaling,TP53_mut,0.9434224060772145
A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,ASXL1_mut,0.1682248167682485
A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,CREBBP_mut,0.46784788322345255
A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,KRAS_mut,0.541183525789831
A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,NRAS_mut,1.072529834221774
A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,SACS_mut,0.5052466860998868
A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,TP53_mut,1.0080761580635451
GW843682X,PLK1,Cell cycle,ASXL1_mut,0.10223915008097477
GW843682X,PLK1,Cell cycle,CREBBP_mut,0.17108816310871025
GW843682X,PLK1,Cell cycle,KRAS_mut,0.4501045816860323
GW843682X,PLK1,Cell cycle,NRAS_mut,0.7906136317661319
GW843682X,PLK1,Cell cycle,SACS_mut,0.21613458511520153
GW843682X,PLK1,Cell cycle,TP53_mut,0.9210407654978114
Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,ASXL1_mut,0.20796767224685353
Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,CREBBP_mut,0.2375755028729406
Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,KRAS_mut,0.08765919084200818
Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,NRAS_mut,1.014290298070636
Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,SACS_mut,0.325182901174584
Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,TP53_mut,0.9044913656310106
Parthenolide,HDAC1,Chromatin histone acetylation,ASXL1_mut,0.46330476009622756
Parthenolide,HDAC1,Chromatin histone acetylation,CREBBP_mut,0.11421607911704264
Parthenolide,HDAC1,Chromatin histone acetylation,KRAS_mut,0.8988133064103101
Parthenolide,HDAC1,Chromatin histone acetylation,NRAS_mut,1.0071779578585462
Parthenolide,HDAC1,Chromatin histone acetylation,SACS_mut,0.22617194556363018
Parthenolide,HDAC1,Chromatin histone acetylation,TP53_mut,1.0151609380209698
GSK319347A,IKK,"Other, kinases",ASXL1_mut,0.6727467169493714
GSK319347A,IKK,"Other, kinases",CREBBP_mut,1.0041329396503431
GSK319347A,IKK,"Other, kinases",KRAS_mut,0.18399220978905506
GSK319347A,IKK,"Other, kinases",NRAS_mut,0.8206232561513711
GSK319347A,IKK,"Other, kinases",SACS_mut,0.5863206155793005
GSK319347A,IKK,"Other, kinases",TP53_mut,0.6585625439389033
TGX221,PI3Kbeta,PI3K/MTOR signaling,ASXL1_mut,0.10167306176734232
TGX221,PI3Kbeta,PI3K/MTOR signaling,CREBBP_mut,0.10602567818791604
TGX221,PI3Kbeta,PI3K/MTOR signaling,KRAS_mut,0.28511046271947355
TGX221,PI3Kbeta,PI3K/MTOR signaling,NRAS_mut,1.608309536239185
TGX221,PI3Kbeta,PI3K/MTOR signaling,SACS_mut,0.24111566684676697
TGX221,PI3Kbeta,PI3K/MTOR signaling,TP53_mut,0.8830038197315911
Bortezomib,Proteasome,Protein stability and degradation,ASXL1_mut,0.3411040832076573
Bortezomib,Proteasome,Protein stability and degradation,CREBBP_mut,0.2414098220713206
Bortezomib,Proteasome,Protein stability and degradation,KRAS_mut,0.26003496550556604
Bortezomib,Proteasome,Protein stability and degradation,NRAS_mut,0.9791015122895752
Bortezomib,Proteasome,Protein stability and degradation,SACS_mut,0.36866170210285687
Bortezomib,Proteasome,Protein stability and degradation,TP53_mut,0.9402982134017748
XMD8-85,"ERK5, BET",Other,ASXL1_mut,0.3080379290066568
XMD8-85,"ERK5, BET",Other,CREBBP_mut,0.6777941204274909
XMD8-85,"ERK5, BET",Other,KRAS_mut,0.32021834688300077
XMD8-85,"ERK5, BET",Other,NRAS_mut,1.1352450673735617
XMD8-85,"ERK5, BET",Other,SACS_mut,0.7898944058371101
XMD8-85,"ERK5, BET",Other,TP53_mut,0.9401275293520445
Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,ASXL1_mut,0.023371140689162965
Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,CREBBP_mut,0.5002126708691819
Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,KRAS_mut,0.5659763963150797
Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,NRAS_mut,1.384418928128989
Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,SACS_mut,0.16313611636723194
Seliciclib,"CDK2, CDK7, CDK9",Cell cycle,TP53_mut,0.9332925687456194
Salubrinal,EIF2A,Other,ASXL1_mut,0.0871734435164244
Salubrinal,EIF2A,Other,CREBBP_mut,0.166216980073684
Salubrinal,EIF2A,Other,KRAS_mut,0.9279746427398861
Salubrinal,EIF2A,Other,NRAS_mut,0.8154188920115999
Salubrinal,EIF2A,Other,SACS_mut,0.5969053617473671
Salubrinal,EIF2A,Other,TP53_mut,0.682073985804718
Lapatinib,"EGFR, ERBB2",RTK signaling,ASXL1_mut,0.37089260096599863
Lapatinib,"EGFR, ERBB2",RTK signaling,CREBBP_mut,0.7475430503650405
Lapatinib,"EGFR, ERBB2",RTK signaling,KRAS_mut,1.2864230589994918
Lapatinib,"EGFR, ERBB2",RTK signaling,NRAS_mut,0.3628014048750509
Lapatinib,"EGFR, ERBB2",RTK signaling,SACS_mut,0.9137164764356972
Lapatinib,"EGFR, ERBB2",RTK signaling,TP53_mut,0.05639552336722321
GSK269962A,"ROCK1, ROCK2",Cytoskeleton,ASXL1_mut,0.2026792360063111
GSK269962A,"ROCK1, ROCK2",Cytoskeleton,CREBBP_mut,0.6737222691641557
GSK269962A,"ROCK1, ROCK2",Cytoskeleton,KRAS_mut,0.8021830198332378
GSK269962A,"ROCK1, ROCK2",Cytoskeleton,NRAS_mut,1.4876934766754892
GSK269962A,"ROCK1, ROCK2",Cytoskeleton,SACS_mut,0.3594112551619619
GSK269962A,"ROCK1, ROCK2",Cytoskeleton,TP53_mut,0.9524478676006148
Doxorubicin,Anthracycline,DNA replication,ASXL1_mut,0.19793347822915397
Doxorubicin,Anthracycline,DNA replication,CREBBP_mut,0.6989611287039863
Doxorubicin,Anthracycline,DNA replication,KRAS_mut,0.32398730463705744
Doxorubicin,Anthracycline,DNA replication,NRAS_mut,1.857030698616084
Doxorubicin,Anthracycline,DNA replication,SACS_mut,0.2570471262491584
Doxorubicin,Anthracycline,DNA replication,TP53_mut,1.9672050267732488
Etoposide,TOP2,DNA replication,ASXL1_mut,0.11666254319259722
Etoposide,TOP2,DNA replication,CREBBP_mut,0.2757324485070767
Etoposide,TOP2,DNA replication,KRAS_mut,0.20316101919119348
Etoposide,TOP2,DNA replication,NRAS_mut,2.0513214688282253
Etoposide,TOP2,DNA replication,SACS_mut,0.2899159570501812
Etoposide,TOP2,DNA replication,TP53_mut,1.6216553781778358
Gemcitabine,Pyrimidine antimetabolite,DNA replication,ASXL1_mut,0.080361313614673
Gemcitabine,Pyrimidine antimetabolite,DNA replication,CREBBP_mut,0.7308036239754822
Gemcitabine,Pyrimidine antimetabolite,DNA replication,KRAS_mut,0.25079045517872156
Gemcitabine,Pyrimidine antimetabolite,DNA replication,NRAS_mut,1.6314302702460495
Gemcitabine,Pyrimidine antimetabolite,DNA replication,SACS_mut,0.5119093614887039
Gemcitabine,Pyrimidine antimetabolite,DNA replication,TP53_mut,1.4846645619725125
Mitomycin-C,DNA crosslinker,DNA replication,ASXL1_mut,0.15075675580628484
Mitomycin-C,DNA crosslinker,DNA replication,CREBBP_mut,0.4284900136154998
Mitomycin-C,DNA crosslinker,DNA replication,KRAS_mut,0.05021636140491315
Mitomycin-C,DNA crosslinker,DNA replication,NRAS_mut,1.4981911086586663
Mitomycin-C,DNA crosslinker,DNA replication,SACS_mut,0.6187825567060656
Mitomycin-C,DNA crosslinker,DNA replication,TP53_mut,1.606900171227048
Vinorelbine,Microtubule destabiliser,Mitosis,ASXL1_mut,0.0901142639552714
Vinorelbine,Microtubule destabiliser,Mitosis,CREBBP_mut,0.4141419213136461
Vinorelbine,Microtubule destabiliser,Mitosis,KRAS_mut,0.3178060482688179
Vinorelbine,Microtubule destabiliser,Mitosis,NRAS_mut,1.6460403370737495
Vinorelbine,Microtubule destabiliser,Mitosis,SACS_mut,0.28124867935616454
Vinorelbine,Microtubule destabiliser,Mitosis,TP53_mut,1.3460873047315332
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,ASXL1_mut,1.1347887272234707
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,CREBBP_mut,0.9982378202578576
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,KRAS_mut,1.0555477377482436
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,NRAS_mut,0.0727593931601648
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,SACS_mut,1.1461786506087008
NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,TP53_mut,0.7643764577605231
Bicalutamide,AR,Hormone-related,ASXL1_mut,0.832325852610094
Bicalutamide,AR,Hormone-related,CREBBP_mut,0.8302367640708073
Bicalutamide,AR,Hormone-related,KRAS_mut,0.970748328149707
Bicalutamide,AR,Hormone-related,NRAS_mut,0.612802507800433
Bicalutamide,AR,Hormone-related,SACS_mut,1.4081908446904357
Bicalutamide,AR,Hormone-related,TP53_mut,0.478933576898416
QS11,ARFGAP1,Other,ASXL1_mut,0.11985120549836706
QS11,ARFGAP1,Other,CREBBP_mut,0.3551804895544706
QS11,ARFGAP1,Other,KRAS_mut,0.5979864288383617
QS11,ARFGAP1,Other,NRAS_mut,1.5269317522744756
QS11,ARFGAP1,Other,SACS_mut,0.4250090768615651
QS11,ARFGAP1,Other,TP53_mut,1.2209876659297578
CP466722,ATM,Genome integrity,ASXL1_mut,1.0053202770917051
CP466722,ATM,Genome integrity,CREBBP_mut,0.9436907281625195
CP466722,ATM,Genome integrity,KRAS_mut,0.18417166535061966
CP466722,ATM,Genome integrity,NRAS_mut,1.769888333903698
CP466722,ATM,Genome integrity,SACS_mut,0.584423184771182
CP466722,ATM,Genome integrity,TP53_mut,0.35240289264170616
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other,ASXL1_mut,0.06993940567153813
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other,CREBBP_mut,0.5213537796232299
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other,KRAS_mut,0.9868560560540639
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other,NRAS_mut,1.5147483241372817
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other,SACS_mut,0.550227175263404
Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other,TP53_mut,0.9391865944516337
CHIR-99021,"GSK3A, GSK3B",WNT signaling,ASXL1_mut,0.8069351699004368
CHIR-99021,"GSK3A, GSK3B",WNT signaling,CREBBP_mut,0.20298296048415218
CHIR-99021,"GSK3A, GSK3B",WNT signaling,KRAS_mut,1.0814439887883476
CHIR-99021,"GSK3A, GSK3B",WNT signaling,NRAS_mut,1.004300423028992
CHIR-99021,"GSK3A, GSK3B",WNT signaling,SACS_mut,0.9198932211854909
CHIR-99021,"GSK3A, GSK3B",WNT signaling,TP53_mut,1.0395452770943456
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",ASXL1_mut,0.5578234912472483
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",CREBBP_mut,1.0656455806566383
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",KRAS_mut,0.5901349374286015
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",NRAS_mut,1.428170721563972
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",SACS_mut,0.2601790459154796
Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases",TP53_mut,0.44017812744225765
AZD6482,PI3Kbeta,PI3K/MTOR signaling,ASXL1_mut,0.6582201954685043
AZD6482,PI3Kbeta,PI3K/MTOR signaling,CREBBP_mut,0.6733323967733241
AZD6482,PI3Kbeta,PI3K/MTOR signaling,KRAS_mut,0.8856259701762639
AZD6482,PI3Kbeta,PI3K/MTOR signaling,NRAS_mut,1.7463355987416165
AZD6482,PI3Kbeta,PI3K/MTOR signaling,SACS_mut,1.0797905031049064
AZD6482,PI3Kbeta,PI3K/MTOR signaling,TP53_mut,0.8632198243082544
JNK-9L,"JNK2, JNK3",JNK and p38 signaling,ASXL1_mut,0.6213186023387256
JNK-9L,"JNK2, JNK3",JNK and p38 signaling,CREBBP_mut,1.2269283651117262
JNK-9L,"JNK2, JNK3",JNK and p38 signaling,KRAS_mut,0.7875553879113535
